LEAID,CENSUSID,FIPST,FIPSCO,CMSA,STNAME,STABBR,SCHLEV,TOTALREV,TFEDREV,TSTREV,TLOCREV,TOTALEXP,TCURELSC,TCURINST,TCURSSVC,TCUROTH,TNONELSE,TCAPOUT,TotalSalaries,TotalEmployeeBenefits
1000170,11505000100000,13,101,0,GEORGIA,GA,3,3921000.0,329000.0,2591000.0,1001000.0,3842000.0,3564000.0,2148000.0,1222000.0,194000.0,0.0,276000.0,2303000.0,682000.0
1001530,11505100100000,13,103,7520,GEORGIA,GA,3,39320000.0,2209000.0,25692000.0,11419000.0,41943000.0,34879000.0,21533000.0,10963000.0,2383000.0,36000.0,5504000.0,22342000.0,6327000.0
1001850,11505200100000,13,105,0,GEORGIA,GA,3,20825000.0,1993000.0,13729000.0,5103000.0,20539000.0,20008000.0,12382000.0,6061000.0,1565000.0,34000.0,497000.0,13240000.0,3920000.0
1000270,11505300100000,13,107,0,GEORGIA,GA,3,30769000.0,3530000.0,23161000.0,4078000.0,34509000.0,24976000.0,15498000.0,7306000.0,2172000.0,0.0,9252000.0,16254000.0,4921000.0
1100030,11505500100000,13,111,0,GEORGIA,GA,3,16935000.0,2039000.0,10489000.0,4407000.0,17427000.0,15736000.0,9441000.0,5158000.0,1137000.0,0.0,1647000.0,10256000.0,3103000.0
1200030,11505600100000,13,113,520,GEORGIA,GA,3,113104000.0,1862000.0,56471000.0,54771000.0,124131000.0,86933000.0,59737000.0,23469000.0,3727000.0,1530000.0,29902000.0,62807000.0,15079000.0
1200060,11505700100000,13,115,0,GEORGIA,GA,3,58067000.0,2319000.0,32646000.0,23102000.0,56981000.0,52182000.0,32053000.0,17270000.0,2859000.0,397000.0,4318000.0,34697000.0,10358000.0
1200090,11505700200000,13,115,0,GEORGIA,GA,3,28978000.0,2543000.0,16067000.0,10368000.0,28781000.0,27914000.0,17516000.0,8669000.0,1729000.0,0.0,812000.0,18542000.0,5513000.0
1200150,11505800100000,13,117,520,GEORGIA,GA,3,86230000.0,1876000.0,39615000.0,44739000.0,106586000.0,59136000.0,36058000.0,20123000.0,2955000.0,0.0,43069000.0,38282000.0,11697000.0
1200180,11505900100000,13,119,0,GEORGIA,GA,3,17881000.0,1238000.0,11601000.0,5042000.0,17356000.0,16673000.0,11017000.0,4715000.0,941000.0,0.0,663000.0,11245000.0,3366000.0
1200300,11506100100000,13,123,0,GEORGIA,GA,3,18908000.0,1452000.0,11161000.0,6295000.0,17261000.0,16550000.0,10189000.0,5150000.0,1211000.0,0.0,486000.0,10619000.0,3449000.0
1200390,11506300100000,13,127,0,GEORGIA,GA,3,75871000.0,4911000.0,37828000.0,33132000.0,85000000.0,68643000.0,42402000.0,22673000.0,3568000.0,742000.0,14443000.0,45797000.0,13337000.0
1200450,11506400200000,13,129,0,GEORGIA,GA,3,29603000.0,1792000.0,19428000.0,8383000.0,28937000.0,27630000.0,16609000.0,9055000.0,1966000.0,265000.0,987000.0,17975000.0,5314000.0
1200480,11506500100000,13,131,0,GEORGIA,GA,3,25320000.0,2765000.0,17676000.0,4879000.0,27291000.0,22911000.0,14313000.0,7146000.0,1452000.0,220000.0,4149000.0,15934000.0,3739000.0
1200510,11506600100000,13,133,0,GEORGIA,GA,3,15036000.0,1750000.0,8450000.0,4836000.0,14323000.0,13928000.0,8227000.0,4760000.0,941000.0,1000.0,367000.0,8863000.0,2532000.0
1200600,11506800100000,13,137,0,GEORGIA,GA,3,31737000.0,1489000.0,18354000.0,11894000.0,30594000.0,29072000.0,18205000.0,9180000.0,1687000.0,0.0,1160000.0,18950000.0,5767000.0
1200630,11506900100000,13,139,0,GEORGIA,GA,3,24012000.0,1509000.0,9866000.0,12637000.0,23591000.0,22065000.0,14213000.0,6829000.0,1023000.0,0.0,1413000.0,14735000.0,4294000.0
